generation,gac,mean_novelty,archive_size
692,7.12,0.5229739895254959,200
693,7.2,0.5221971464150428,200
694,7.64,0.5284916147853466,200
695,7.2,0.5806213963753696,200
696,7.26,0.5725493907665046,200
697,7.28,0.5897791400157755,200
698,6.98,0.6086432162749823,200
699,7.42,0.5838216158819929,200
700,7.6,0.5808968224600997,200
701,7.9,0.5968120993439819,200
702,7.72,0.590578818507684,200
703,8.64,0.5912533878733338,200
704,7.86,0.5835691177849427,200
705,8.6,0.6206992162773826,200
706,7.92,0.6293771395221263,200
707,8.6,0.6415696987127688,200
708,7.76,0.6340613552178348,200
709,7.48,0.6161366658663049,200
710,7.92,0.5908941046987386,200
711,8.54,0.5497815644115,200
712,7.9,0.5523009726459552,200
713,9.52,0.5426807513785555,200
714,9.48,0.49807875362721193,200
715,9.38,0.5422786736028862,200
716,9.4,0.5615209735828597,200
717,9.36,0.5493119911249975,200
718,9.54,0.5738450151708157,200
719,9.2,0.5488024473902275,200
720,8.68,0.5118320831533935,200
721,9.06,0.5189481943213641,200
722,9.2,0.5301809166739982,200
723,9.6,0.5488678644354313,200
724,9.58,0.5576558243090425,200
725,10.0,0.5714210072973628,200
726,10.54,0.626198582967024,200
727,10.58,0.6256407577018024,200
728,9.6,0.5914674784850931,200
729,10.36,0.5652735846391886,200
730,10.66,0.5869826801999448,200
731,11.34,0.5582567760995911,200
732,12.06,0.5354616291508503,200
733,11.18,0.5382781674471222,200
734,11.3,0.5048213751355177,200
735,10.36,0.5359441457023102,200
736,10.44,0.5045209089239453,200
737,10.94,0.5323867949571364,200
738,10.96,0.49471706326295367,200
739,11.24,0.5654334817107068,200
740,11.06,0.5435610481970542,200
741,11.82,0.5835201943343236,200
742,12.24,0.5113677518564664,200
743,11.74,0.4511716839261571,200
744,11.8,0.4890033846519526,200
745,10.68,0.48681550672036183,200
746,11.66,0.5442998873722966,200
747,11.16,0.5009244124050177,200
748,12.22,0.5323926567869907,200
749,10.34,0.5247006563331787,200
750,11.74,0.5670558170688494,200
751,10.36,0.5202327775122723,200
752,10.9,0.477167206123763,200
753,10.46,0.4697702082208434,200
754,11.22,0.4972160488856383,200
755,11.64,0.4648852578732923,200
756,14.04,0.5017661371562921,200
757,13.68,0.5068255549424112,200
758,13.68,0.5387107343656801,200
759,11.22,0.5294329911141176,200
760,11.7,0.5394906996889131,200
761,11.54,0.5598761636287749,200
762,11.3,0.5857822261719451,200
763,12.78,0.5604327225288536,200
764,12.98,0.5696198455455043,200
765,13.88,0.5434705578935874,200
766,12.38,0.5422196604279439,200
767,11.54,0.4520688927721195,200
768,12.64,0.486942095531536,200
769,13.1,0.4914304200033735,200
770,11.5,0.5416155025215761,200
771,13.34,0.528599317827477,200
772,11.06,0.5142106012104363,200
773,12.52,0.475423082033044,200
774,12.8,0.4901686455914313,200
775,12.4,0.48776203161113785,200
776,13.38,0.5021239120880215,200
777,13.8,0.5357639349938765,200
778,14.42,0.5719315747973133,200
779,13.8,0.5891529515712199,200
780,14.54,0.5525143240558069,200
781,13.26,0.5541688535063407,200
782,16.0,0.5298746600696178,200
783,14.22,0.5241779045774201,200
784,13.28,0.5090875547847009,200
785,14.68,0.5212434891792337,200
786,13.98,0.5266773003569553,200
787,15.56,0.5343921295097127,200
788,13.9,0.5386413703466998,200
789,12.98,0.551668489737516,200
790,14.16,0.5250538142380614,200
791,14.04,0.5336109460761836,200
792,13.64,0.4765767380303253,200
793,12.96,0.4473251970281289,200
794,12.08,0.4550982090810448,200
795,13.1,0.4446974959855755,200
796,10.72,0.4703042543529574,200
797,11.16,0.4922213621941527,200
798,12.7,0.5191415693954166,200
799,10.76,0.5101450170816791,200
800,11.44,0.5305098685692556,200
801,10.64,0.5301819043241123,200
802,10.78,0.5302366274189897,200
803,12.44,0.5439990424937604,200
804,12.82,0.49897374982712683,200
805,10.18,0.4731142274662622,200
806,10.96,0.5065345327372188,200
807,9.0,0.493499265443707,200
808,8.52,0.47657070889051284,200
809,9.3,0.508014941321067,200
810,9.5,0.5067084117957478,200
811,7.98,0.502450769680828,200
812,8.92,0.5407992534083343,200
813,9.1,0.5123044994169931,200
814,10.86,0.5549652766293058,200
815,10.4,0.4983869297973413,200
816,10.48,0.5384468827730802,200
817,9.62,0.5022417757699172,200
818,9.88,0.5120351330451993,200
819,9.48,0.5557412674505368,200
820,10.26,0.5758497010834186,200
821,9.5,0.5581909822111488,200
